sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,hemnet_url
2024-04-24,Myggdalsvägen 64,64,4.0,90.0,2600000,2195000,28889,6912,0.18,Fastighetsbyrån Tyresö,21308310,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-64-1456610976065072342
2024-04-15,Myggdalsvägen 62,62,2.0,45.0,1450000,1495000,32222,3387,-0.03,Fastighetsbyrån Tyresö,21290957,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-62-3713705169894037735
2024-04-10,Myggdalsvägen 12,12,4.0,92.0,2350000,1895000,25543,7243,0.24,Fastighetsbyrån Tyresö,21288599,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-12-1240123079437528912
2024-03-30,Myggdalsvägen 36,36,4.0,88.5,2295000,2295000,25932,6443,0.0,Svensk Fastighetsförmedling Tyresö,21237415,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-36-2020959456307766647
2024-03-28,"Myggdalsvägen 78, 1 tr",78,3.5,88.5,2275000,1795000,25706,6393,0.27,Fastighetsbyrån Tyresö,21295997,"https://www.hemnet.se/salda/lagenhet-3,5rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-78,-1-tr-5790257796213862179"
2024-03-06,Myggdalsvägen 88,88,3.0,88.5,2100000,2250000,23729,6597,-0.07,Svensk Fastighetsförmedling Tyresö,20990855,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-tyreso-kommun-myggdalsvagen-88-2961912553266257934
2024-02-26,Myggdalsvägen 94,94,2.0,45.0,1740000,1895000,38667,3377,-0.08,Svensk Fastighetsförmedling Tyresö,21263595,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-94-8521087074543231953
2024-02-16,Myggdalsvägen 102,102,2.0,74.0,1695000,1695000,22905,5198,0.0,HusmanHagberg Tyresö/Älta,21271531,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-102-63456244258536040
2024-02-08,Myggdalsvägen 108,108,2.0,74.0,2025000,1795000,27365,5198,0.13,Fastighetsbyrån Tyresö,21145895,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-108-1638288438500427092
2024-02-04,Myggdalsvägen 78,78,4.0,88.5,2610000,2495000,29492,6237,0.05,SkandiaMäklarna Tyresö/Älta,21240656,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-78-7355971428549477159
2024-02-04,Myggdalsvägen 28,28,3.0,88.5,2795000,2795000,31582,6598,0.0,Svensk Fastighetsförmedling Tyresö,21158284,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-28-4901294987620215865
2024-01-22,Myggdalsvägen 88 ,88,2.0,77.5,2050000,1995000,26452,5186,0.03,Fastighetsbyrån Tyresö,21157797,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-88-3279151834895351142
2024-01-12,"Myggdalsvägen 92, vån. 5",92,4.0,92.0,2250000,2095000,24457,6938,0.07,HusmanHagberg Tyresö/Älta,21070255,"https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-92,-van,-5-7636565153724646811"
